title,longitude,latitude
BEIJING,116.407394,39.904202
VALDIVIA,-73.23152,-39.82539
SAN JUAN,-66.105736,18.46554
MIAMI,-80.191788,25.761681
ATLANTA,-84.387985,33.748997
BALTIMORE,-76.61219,39.290386
WASHINGTON DC,-77.036873,38.907192
DETROIT,-83.047836,42.332939
CHICACO,-87.6324,41.88323
NEW YORK,-74.005974,40.712776
PHILIDELPHIA,-75.16562,39.95106
SHENZHEN,114.120178,22.554319
HELSINKI,24.93819,60.16983
STOCKHOLM,18.064489,59.33279
BERLIN,13.404954,52.520008
OSLO,10.73874,59.913818
PRAGUE,14.4378,50.075539
LODZ,19.458599,51.759048
ROTTERDAM,4.47059,51.922909
BARCELONA,2.173404,41.385063
LISBON,-9.13564,38.707008
SAO PAULO,-46.638248,-23.54867
NEW ORLEANS,-90.071533,29.951065
